##,Player,FG Made,FG Attempt,FG%,3PT Made,3PT Attempt,3PT%,FT Made,FT Attempt,FT%,ORB,DRB,REB,PF,A,TO,BLK,STL,PTS
13,"Brown, Jada",3,4,75.0,2,2,100.0,0,0,0.0,0,0,0,0,0,0,0,0,8
32,"Greenburg, Page",0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0
22,"Habib, Ta'Viyanna",3,8,37.5,1,3,33.33,0,0,0.0,0,4,4,2,1,1,0,1,7
03,"Harris, Kennedy",7,12,58.33,0,2,0.0,3,4,75.0,1,5,6,0,7,1,0,3,17
42,"Kaysia, Nalani",2,7,28.57,0,1,0.0,3,4,75.0,2,8,10,2,0,4,0,2,7
10,"Massenburg, Trinity",1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2
23,"McNeal, Khamya",0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0
11,"Mitchell, Nekhu",2,2,100.0,1,1,100.0,0,0,0.0,0,1,1,2,0,1,0,1,5
21,"Okorie, Faith",0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
14,"Suárez, Paula",4,10,40.0,2,6,33.33,0,0,0.0,0,3,3,2,4,2,0,1,10
15,"Volker, Louis",3,4,75.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,1,0,6
02,"Walton, Zahirah",4,8,50.0,0,2,0.0,6,6,100.0,2,3,5,3,1,3,1,2,14
